A00;Cholera
Z11;Spezielle Unters.verfahren auf infekt./parasit. Krankheiten;Spezielle Verfahren zur Untersuchung auf infektiöse und parasitäre Krankheiten
Z12;Spezielle Verfahren zur Untersuchung auf Neubildungen
Z13;Spezielle Unters.verfahren auf sonst. Krankheiten/Störungen;Spezielle Verfahren zur Untersuchung auf sonstige Krankheiten oder Störungen
Z20;Kontakt mit und Exposition ggü. übertragbaren Krankheiten;Kontakt mit und Exposition gegenüber übertragbaren Krankheiten
Z21;Asymptomatische HIV-Infektion;Asymptomatische HIV-Infektion [Humane Immundefizienz-Virusinfektion]
Z22;Keimträger von Infektionskrankheiten
Z23;Notwendigkeit der Impfung gegen einzelne bakt. Krankheiten;Notwendigkeit der Impfung [Immunisierung] gegen einzelne bakterielle Krankheiten
Z24;Notwendigk. d. Impfung gegen bestimmte einzelne Viruskrankh.;Notwendigkeit der Impfung [Immunisierung] gegen bestimmte einzelne Viruskrankheiten
Z25;Notwendigk. der Impfung gegen andere einzelne Viruskrankh.;Notwendigkeit der Impfung [Immunisierung] gegen andere einzelne Viruskrankheiten
Z26;Notwendigk. der Impfung gegen andere einz. Infektionskrankh.;Notwendigkeit der Impfung [Immunisierung] gegen andere einzelne Infektionskrankheiten
Z27;Notwendigk. der Impfung gegen kombin. Infektionskrankheiten;Notwendigkeit der Impfung [Immunisierung] gegen Kombinationen von Infektionskrankheiten
Z28;Nicht durchgeführte Impfung [Immunisierung]
Z29;Notwendigkeit von anderen prophylaktischen Maßnahmen
Z30;Kontrazeptive Maßnahmen
Z31;Fertilisationsfördernde Maßnahmen
Z32;Untersuchung und Test zur Feststellung einer Schwangerschaft
Z33;Schwangerschaftsfeststellung als Nebenbefund
Z34;Überwachung einer normalen Schwangerschaft
Z35;Überwachung einer Risikoschwangerschaft
Z36;Pränatales Screening
Z37;Resultat der Entbindung
Z38;Lebendgeborene nach dem Geburtsort
Z39;Postpartale Betreuung und Untersuchung der Mutter
Z40;Prophylaktische Operation
Z41;Maßnahmen anderer Gründe als Wiederherst. d. Gesundheitsz.;Maßnahmen aus anderen Gründen als der Wiederherstellung des Gesundheitszustandes
Z42;Nachbehandlung unter Anwendung plastischer Chirurgie
Z43;Versorgung künstlicher Körperöffnungen
Z44;Versorgen mit und Anpassen einer Ektoprothese
Z45;Anpassung/Handhabung eines implantierten med. Gerätes;Anpassung und Handhabung eines implantierten medizinischen Gerätes
Z46;Versorgen mit/Anpassen von anderen med. Geräten/Hilfsm.;Versorgen mit und Anpassen von anderen medizinischen Geräten oder Hilfsmitteln
Z47;Andere orthopädische Nachbehandlung
Z48;Andere Nachbehandlung nach chirurgischem Eingriff
Z49;Dialysebehandlung
Z50;Rehabilitationsmaßnahmen
Z51;Sonstige medizinische Behandlung
Z52;Spender von Organen oder Geweben
Z53;Aufgenommene Personen mit geplant. nicht durchgeführt. Maßn.;Personen, die Einrichtungen des Gesundheitswesens wegen spezifischer Maßnahmen aufgesucht haben, die aber nicht durchgeführt wurden
Z54;Rekonvaleszenz
Z55;Kontaktanlässe mit Bezug auf die Ausbildung
Z56;Kontaktanlässe mit Bezug auf das Berufsleben
Z57;Berufliche Exposition gegenüber Risikofaktoren
Z58;Kontaktanlässe mit Bezug auf die physikalische Umwelt
Z59;Kontaktanlässe mit Bezug auf d. Wohnumfeld/wirtschaftl. Lage;Kontaktanlässe mit Bezug auf das Wohnumfeld oder die wirtschaftliche Lage
Z60;Kontaktanlässe mit Bezug auf die soziale Umgebung
Z61;Kontaktanlässe mit Bezug auf Kindheitserlebnisse
Z62;Andere Kontaktanlässe mit Bezug auf die Erziehung
Z63;Andere Kontaktanlässe mit Bezug auf d. engeren Familienkreis;Andere Kontaktanlässe mit Bezug auf den engeren Familienkreis
Z64;Kontaktanlässe mit Bezug auf bestimmte psychosoz. Umstände;Kontaktanlässe mit Bezug auf bestimmte psychosoziale Umstände
Z65;Kontaktanlässe mit Bezug auf andere psychosoziale Umstände
Z70;Beratung in Bezug auf Sexualeinst./-verhalten/-orient.;Beratung in Bezug auf Sexualeinstellung, -verhalten oder -orientierung
Z71;Personen, die andere Beratung/ärztl. Konsultation beanspr.;Personen, die das Gesundheitswesen zum Zwecke anderer Beratung oder ärztlicher Konsultation in Anspruch nehmen, anderenorts nicht klassifiziert
Z72;Probleme mit Bezug auf die Lebensführung
Z73;Probleme mit Bezug auf Schwierigkeiten bei Lebensbewältigung;Probleme mit Bezug auf Schwierigkeiten bei der Lebensbewältigung
Z74;Probleme mit Bezug auf Pflegebedürftigkeit
Z75;Probleme bezugn. auf mediz. Betreuungsmögl./Gesundheitsvers.;Probleme mit Bezug auf medizinische Betreuungsmöglichkeiten oder andere Gesundheitsversorgung
Z76;Personen, die das Gesundheitsw. aus sonst. Gründen beanspr.;Personen, die das Gesundheitswesen aus sonstigen Gründen in Anspruch nehmen
Z80;Bösartige Neubildung in der Familienanamnese
Z81;Psych. Krankheiten oder Verh.störungen in Familienanamnese;Psychische Krankheiten oder Verhaltensstörungen in der Familienanamnese
Z82;Best. Behind. oder chron. Krankheiten in Familienanamnese, die zu Schädigung oder Behinderung führen;Bestimmte Behinderungen oder chronische Krankheiten in der Familienanamnese, die zu Schädigung oder Behinderung führen
Z83;Andere spezifische Krankheiten in der Familienanamnese
Z84;Andere Krankheiten oder Zustände in der Familienanamnese
Z85;Bösartige Neubildung in der Eigenanamnese
Z86;Bestimmte andere Krankheiten in der Eigenanamnese
Z87;Andere Krankheiten oder Zustände in der Eigenanamnese
Z88;Eigenanam. Allergie ggü. Arzneim./Drogen/biolog. akt. Subst.;Allergie gegenüber Arzneimitteln, Drogen oder biologisch aktiven Substanzen in der Eigenanamnese
Z89;Extremitätenverlust
Z90;Verlust von Organen, anderenorts nicht klassifiziert
Z91;Risikofaktoren in der Eigenanamnese;Risikofaktoren in der Eigenanamnese, anderenorts nicht klassifiziert
Z92;Medizinische Behandlung in der Eigenanamnese
Z93;Vorhandensein einer künstlichen Körperöffnung
Z94;Zustand nach Organ- oder Gewebetransplantation
Z95;Vorhandene kardiale/vaskuläre Implantate/Transplantate;Vorhandensein von kardialen oder vaskulären Implantaten oder Transplantaten
Z96;Vorhandensein von anderen funktionellen Implantaten
Z97;Vorhandensein anderer medizinischer Geräte oder Hilfsmittel
Z98;Sonstige Zustände nach chirurgischem Eingriff
Z99;Langzeitabh. von Apparaten/medizinischen Geräten/Hilfsm.;Abhängigkeit (langzeitig) von unterstützenden Apparaten, medizinischen Geräten oder Hilfsmitteln, anderenorts nicht klassifiziert
U04;Schweres akutes respiratorisches Syndrom [SARS]
U06;Zika-Viruskrankheit
U07;Nicht belegte Schlüsselnummer U07
U50;Motorische Funktionseinschränkung
U51;Kognitive Funktionseinschränkung
U52;Frührehabilitations-Barthel-Index [FRB]
U55;Erfolgte Registrierung zur Organtransplantation
U60;Klinische Kategorien der HIV-Krankheit
U61;Anzahl der T-Helferzellen bei HIV-Krankheit
U69;Sonstige sekundäre Schlüsselnummern für besondere Zwecke
U80;Grampositive Erreger mit bestimmten Antibiotikaresistenzen;Grampositive Erreger mit bestimmten Antibiotikaresistenzen, die besondere therapeutische oder hygienische Maßnahmen erfordern
U81;Gramnegative Erreger mit bestimmten Antibiotikaresistenzen;Gramnegative Erreger mit bestimmten Antibiotikaresistenzen, die besondere therapeutische oder hygienische Maßnahmen erfordern
U82;Mykobakterien mit Resistenz gegen Antituberkulotika;Mykobakterien mit Resistenz gegen Antituberkulotika (Erstrangmedikamente)
U83;Candida mit Resistenz gegen Fluconazol oder Voriconazol
U84;Herpesviren mit Resistenz gegen Virustatika
U85;Humanes Immundefizienz-Virus mit Resistenzen;Humanes Immundefizienz-Virus mit Resistenz gegen Virustatika oder Proteinaseinhibitoren
U99;Nicht belegte Schlüsselnummer U99
